"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.052,"2.162","2.136"
"3","","",NA,"",""
"4","ABC, Prisma Porintie 4 (E85 1.671)","22.09.",2.107,"2.217","2.157"
"5","Neste,  Karjalankatu 7","22.09.",2.079,"2.179","2.129"
"6","ABC, S-Market Äyhönjärventie 1","21.09.",2.106,"2.211","2.156"
"7","ABC, Kortela Unajantie 2, 8-tie","21.09.",2.106,"2.206","2.156"
"8","St1, Kortela Vanha Turuntie, 8-tie","21.09.",2.079,"2.179","2.129"
"9","ABC, Talliketo Tallikedonkatu 12","21.09.",2.105,"2.205","2.155"
"10","ABC, Sale Monnankatu 4","21.09.",2.106,"2.206","2.156"
"11","Neste Oil, K-Supermarket Ahteentie 1","21.09.",2.079,"2.179","2.129"
"12","Shell Express,  Karjalankatu (*Vpower)","20.09.",1.954,"*2.064","2.097"
"13","St1,  Nortamonkatu 19","20.09.",1.969,"2.069","2.113"
"14","Teboil (A), Sampaanala Nortamonkatu 35","19.09.",1.966,"2.066","2.117"
"15","Teboil Express, Papinhaka Papinhaankatu 7","19.09.",1.965,"2.065","-"
